file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,hdr-badge,uhd-badge
1019_Heart_of_Gold.html,"Shot over the span of two nights at Ryman Auditorium in Nashville, this in-depth look into Neil Young's 2005 concert combines intimate interviews with Young himself and the premieres of various songs from Young's acclaimed album, 'Prairie Wind.'","Documentary,Music Videos and Concerts",Rated 4.7 out of 5 stars by 1039 Amazon customers.,"1,039",1,IMDb 7.7,1 h 43 min,2006,PG,/gp/video/detail/B000L9GOL4/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1041_Along_Came_Jones.html,"Gary Cooper (1952's ""High Noon"") gives a marvelous, tongue-in-cheek performance as a fumble-fingered cowpoke who is mistaken for a notorious bandit and almost gets killed by both sides of the law   all while managing to capture the attention of Loretta Young. William Demarest co-stars as Cooper's trusty sidekick and Dan Duryea plays the villainous Monte Jarred for whom Cooper is mistaken.","Comedy,Western",Rated 4.4 out of 5 stars by 182 Amazon customers.,182,1,IMDb 6.4,1 h 30 min,1945,16+,/gp/video/detail/B001NUFWUY/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1046_The_Couch_Trip.html,"A mental patient sent to jail for computer fraud cons his way into a mental facility for men, where he takes over the psychiatric practice of a million-dollar-a-year shrink who is about to have a breakdown.",Comedy,Rated 4.4 out of 5 stars by 136 Amazon customers.,136,1,IMDb 5.8,1 h 38 min,1988,R,/gp/video/detail/B08DTVZBN7/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1083_Win_a_Date_with_Tad_Hamilton.html,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.","Comedy,Romance",Rated 4.5 out of 5 stars by 813 Amazon customers.,813,1,IMDb 5.6,1 h 36 min,2004,PG-13,/gp/video/detail/B00EX0462Q/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1085_The_Making_Of_A_Night_At_The_Opera_Classic_Album.html,"'A Night At The Opera' was one of the most expensive, expansive and creative albums of its time and it confirmed Queen as a global rock phenomenon. It was their  'Sgt. Pepper', the album that propelled them into rock and roll history, and is a truly classic album.","Documentary,Music Videos and Concerts",Rated 4.5 out of 5 stars by 5 Amazon customers.,5,1,IMDb 8.4,49min,2002,13+,/gp/video/detail/B09FRHMQZX/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1245_Khartoum.html,"This exhilarating military spectacle, highlighted by powerful performances from Laurence Olivier and Charlton Heston, chronicles Britain's 1883 crisis in the Sudan and the siege of Khartoum.","Drama,Historical",Rated 4.6 out of 5 stars by 1427 Amazon customers.,"1,427",1,IMDb 6.8,2 h 16 min,1966,18+,/gp/video/detail/B00HVMMQR0/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1257_Saw_II.html,A detective and his team must rescue eight people trapped in a factory by the twisted serial killer known as Jigsaw.,"Suspense,Horror",Rated 4.5 out of 5 stars by 3118 Amazon customers.,"3,118",1,IMDb 6.6,1 h 32 min,2005,R,/gp/video/detail/B000QCM9OM/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1331_Within_Our_Gates.html,A woman's past comes back to haunt her.,"Drama,Romance",Rated 4.1 out of 5 stars by 61 Amazon customers.,61,1,IMDb 6.4,1 h 19 min,1920,16+,/gp/video/detail/B01C6D1CS2/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1433_Saw_III.html,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky individual through a brutal test.,"Suspense,Horror",Rated 4.5 out of 5 stars by 2527 Amazon customers.,"2,527",1,IMDb 6.2,1 h 48 min,2006,R,/gp/video/detail/B000N38DYY/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1436_Chinatown.html,"Private detective J.J. Gittes is hired to investigate and expose a common case of adultery. The investigation becomes increasingly more complicated as he becomes immersed in a world of lies, deceit, dishonesty, and murder.","Suspense,Drama",Rated 4.6 out of 5 stars by 4629 Amazon customers.,"4,629",1,IMDb 8.2,2 h 5 min,1974,R,/gp/video/detail/B000HZM4FW/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,HDR,UHD
151_Shake_Hands_With_the_Devil.html,Based on a book by Romeo Dallaire.,"Drama,Historical,Military and War",Rated 4.5 out of 5 stars by 132 Amazon customers.,132,1,IMDb 7.6,1 h 52 min,2007,R,/gp/video/detail/B09PV5RWDZ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1604_Ace_Ventura_Pet_Detective.html,"Zany private detective Ace Ventura, who specializes in recovering lost animals, takes on a case to find the Miami Dolphins' missing mascot. When the team's star player is kidnapped, Ace must close in on the culprits in time for the Super Bowl.",Comedy,Rated 4.7 out of 5 stars by 8815 Amazon customers.,"8,815",1,IMDb 6.9,1 h 25 min,1994,13+,/gp/video/detail/B07623P47X/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1647_Adios_Sabata.html,"Under the brutal rule of local garrison leader Colonel Skimmel and European tyranny, a group of Mexican revolutionaries hire gunslinger Sabata (Yul Brynner) to rob a transport of Austrian gold in order to buy weapons. But Colonel Skimmel has other plans, taking the gold for himself and blaming the revolutionaries, but no scheming colonel is going to keep Sabata from earning his pay.",Adventure,Rated 4.2 out of 5 stars by 100 Amazon customers.,100,1,IMDb 5.9,1 h 45 min,1971,PG,/gp/video/detail/B001MKVDMG/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1684_633_Squadron.html,A WWII Royal Air Force squadron prepare for an important and dangerous mission   to demolish a Nazi-run munitions factory deep in the fjords of Norway - an installation which is a source of fuel for German rocket-launching. Based on the novel by Frederick E. Smith.,"Drama,Action",Rated 4.3 out of 5 stars by 941 Amazon customers.,941,1,IMDb 6.4,1 h 34 min,1964,13+,/gp/video/detail/B001NTPYSK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1699_The_Octagon.html,Chuck Norris is back in this action-packed martial arts showcase co-starring the legendary Lee Van Cleef. Norris takes on his adoptive brother and a training camp where terrorists are being taught the secret killing techniques of the ninja!,"Suspense,Drama",Rated 4.3 out of 5 stars by 288 Amazon customers.,288,1,IMDb 5.0,1 h 44 min,1980,R,/gp/video/detail/B079WQCB4R/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1719_Red.html,HD. Brian Cox (HBO's ''Succession'') stars as a reclusive widower who seeks justice after three teens kill his beloved dog for no reason.,"Suspense,Drama",Rated 4.3 out of 5 stars by 1017 Amazon customers.,"1,017",1,IMDb 6.9,1 h 33 min,2008,R,/gp/video/detail/B001MVR9CI/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1724_Feast_of_Love.html,"An Oregon town is the backdrop for this tale of men and women touched by love's inescapable spell: From hopeless romantic Bradley (Greg Kinnear) to Harry (Morgan Freeman), a local professor with the wisdom and experience to guide those close to him.","Drama,Romance",Rated 4.2 out of 5 stars by 543 Amazon customers.,543,1,IMDb 6.6,1 h 41 min,2007,R,/gp/video/detail/B0015UYTZG/ref=atv_dp_atf_prime_sd_mv_play_t1ATAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1725_Cherry_2000.html,"David Andrews plays a young man of the future whose robot/companion suffers an internal meltdown. To replace the parts, Andrews must enter the lawless zone, where he is forced to team up with a real woman when his life is threatened.","Science Fiction,Comedy",Rated 4.5 out of 5 stars by 935 Amazon customers.,935,1,IMDb 5.5,1 h 38 min,1988,PG-13,/gp/video/detail/B003U957YC/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1729_Interiors.html,"Diane Keaton and Mary Beth Hurt star in Woody Allen's bold and compelling drama about a repressed, crisis-ridden family struggling to come to terms with each other and the world around them.",Drama,Rated 4.4 out of 5 stars by 389 Amazon customers.,389,1,IMDb 7.3,1 h 31 min,1978,PG,/gp/video/detail/B001BLXUPY/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1731_Dead_Like_Me_Life_After_Death.html,"After the departure of Rube Sofer, a new head reaper named Cameron Kane takes over. He's a slick businessman who couldn't care less about helping the newly dead. Chaos ensues and brings out the worst in Daisy and Mason who begin drinking anew. George and Reggie re-connect for the first time when George reaps a new friend of Reggie's.",Comedy,Rated 4.4 out of 5 stars by 2506 Amazon customers.,"2,506",1,IMDb 6.0,1 h 27 min,2009,R,/gp/video/detail/B001XK0STO/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1737_Dream_Lover.html,"Architect Ray Reardon lives in a glittery dream world of upscale success.  On the rebound from a recent divorce, Ray meets Lena Mathers and falls in love - but his dream turns to a nightmare as Lena leads him to the edge.  As Ray is about to discover, there's only one place to go when you reach the edge...and from some dreams, there can be no awakening.","Suspense,Drama",Rated 4.1 out of 5 stars by 250 Amazon customers.,250,1,IMDb 6.2,1 h 43 min,1994,R,/gp/video/detail/B08F1PHX4P/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1738_Eve_Of_Destruction.html,"After an unexpected mishap during testing, Eve VIII, a sophisticated android, begins killing anything she perceives as a threat. Now, a terrorism expert must find and deactivate her before she realizes her ultimate capability: nuclear annihilation!","Science Fiction,Drama,Action",Rated 4.4 out of 5 stars by 157 Amazon customers.,157,1,IMDb 4.9,1 h 40 min,1991,R,/gp/video/detail/B0B8TGMPKD/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1747_Salvador.html,Compelling drama based on the real experiences of journalist Richard Boyle in strife-ridden El Salvador in 1980-81.,"Suspense,Drama",Rated 4.5 out of 5 stars by 587 Amazon customers.,587,1,IMDb 7.4,2 h 2 min,1986,R,/gp/video/detail/B008HB30P6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1750_The_Care_Bears_Movie.html,The Care Bears leave their cloud home in Care-A-Lot to try and teach earthlings how to share their feelings of love and caring for each other.,"Comedy,Animation",Rated 4.7 out of 5 stars by 1145 Amazon customers.,"1,145",1,IMDb 5.6,1 h 16 min,1985,G,/gp/video/detail/B07NK5J411/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1760_The_Private_Life_of_Sherlock_Holmes.html,From the collaborative genius of writer/director Billy Wilder comes this highly entertaining mystery that unfolds from Dr. Watson's (Colin Blakely) diary involving the great Sherlock Holmes (Robert Stephens).,"Comedy,Suspense",Rated 4.3 out of 5 stars by 598 Amazon customers.,598,1,IMDb 7.0,2 h 5 min,1970,PG-13,/gp/video/detail/B001EYSCF6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1761_Criminal_Law.html,"Attorney Oldman successfully defends accused killer Kevin Bacon. It is only after proving his client's innocence by discrediting eyewitness, that Oldman discovers Bacon is guilty--and intends to kill again.","Suspense,Drama",Rated 3.8 out of 5 stars by 412 Amazon customers.,412,1,IMDb 5.6,1 h 53 min,1989,R,/gp/video/detail/B00A2YGDAU/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1763_Comes_A_Horseman.html,"A ruthless cattle baron (Jason Robards, Jr.) stops at nothing to acquire the land bordering his property. A woman rancher (Jane Fonda) reluctantly joins forces with an ex-soldier (James Caan) to resist the powerful forces of the land-greedy baron.","Drama,Western",Rated 4.6 out of 5 stars by 292 Amazon customers.,292,1,IMDb 6.3,1 h 58 min,1978,PG,/gp/video/detail/B0039RME9G/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1765_Kiss_Me_Stupid.html,"In this comic gem from the legendary Billy Wilder and his long-time writing partner I.A.L. Diamond, Dean Martin is a famous singer targeted by two would-be songwriters who encourage a waitress (Kim Novak) to coerce Dino into a song-buying mood.","Comedy,Romance",Rated 3.9 out of 5 stars by 142 Amazon customers.,142,1,IMDb 6.9,2 h 4 min,1964,PG-13,/gp/video/detail/B001NVB5YA/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1770_Kings_of_the_Sun.html,"Yul Brynner (""Invitation to a Gunfighter"") and George Chakiris (""West Side Story"") shine as the kings of two clashing cultures forced to form an alliance against a mutual threat in this gripping historical saga. Directed by J. Lee Thompson.","Suspense,Drama",Rated 4.1 out of 5 stars by 489 Amazon customers.,489,1,IMDb 6.1,1 h 47 min,1963,7+,/gp/video/detail/B004BYEZY8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
177_Saw_4_Unrated.html,"Jigsaw, as well as his apprentice Amanda, have died. After hearing of Detective Kerry's murder, two veteran FBI agents, Agent Strahm and Agent Perez, assist Detective Hoffman in sorting out the remains of Jigsaw's last game.","Suspense,Horror",Rated 4.6 out of 5 stars by 1298 Amazon customers.,"1,298",1,IMDb 5.9,1 h 35 min,2007,R,/gp/video/detail/B00440YKIU/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1792_Into_Thin_Air_Death_On_Everest.html,The real-life tragic story of a Mount Everest climbing expedition in which eight people lost their lives. Based on the #1 best-selling book Into Thin Air by John Krakauer.,"Drama,Adventure",Rated 3.6 out of 5 stars by 189 Amazon customers.,189,1,IMDb 5.7,1 h 30 min,1997,13+,/gp/video/detail/B09JFFNP29/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1813_Invitation_to_a_Gunfighter.html,In this post-Civil War drama Yul Brynner portrays a smooth gun-for-hire sent to kill an ex-Rebel soldier (George Segal) who is stirring up trouble in this intriguing offbeat western.,"Drama,Western",Rated 4.4 out of 5 stars by 139 Amazon customers.,139,1,IMDb 6.3,1 h 32 min,1964,13+,/gp/video/detail/B00RADJ63M/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1829_The_Woman_In_The_Window.html,"With his wife out of town, a professor (Edward G. Robinson) engages in an innocent flirtation with a chance acquaintance (Joan Bennett) and inadvertently commits a shocking crime...one district attorney Raymond Massey is determined to solve.","Drama,Suspense",Rated 4.7 out of 5 stars by 444 Amazon customers.,444,1,IMDb 7.6,1 h 39 min,1944,13+,/gp/video/detail/B08TDWGJ81/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1852_Cooley_High.html,"Set in 1964 Chicago, ""Cooley High"" is a slice-of-life tale of two high school students--best friends--coping with the challenges of everyday life and growing up in the shadows of the housing projects. Glynn Turman and Laurence-Hilton Jacobs star.","Comedy,Drama",Rated 4.8 out of 5 stars by 654 Amazon customers.,654,1,IMDb 7.1,1 h 47 min,1975,PG,/gp/video/detail/B0873WWGVQ/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1853_The_Pope_of_Greenwich_Village.html,"Daryl Hannah, Mickey Rourke and Eric Roberts star in this funny, high-voltage story of two small-time thieves after a big score in New York's Little Italy.","Comedy,Drama",Rated 4.4 out of 5 stars by 353 Amazon customers.,353,1,IMDb 6.6,2h,1984,R,/gp/video/detail/B00YTQMRZC/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1858_Nutcracker_The_Motion_Picture.html,"The colorful holiday classic is finally brought to the big screen, designed by famed children's story author and artist Maurice Sendak, and written for the first time to be as close as possible to the original story. A lavish, exciting and heart-warming celebration of dance, of music, and of life. Based upon the Pacific Northwest Ballet's original production.","Kids,Fantasy",Rated 4.6 out of 5 stars by 1141 Amazon customers.,"1,141",1,IMDb 6.9,1 h 25 min,1986,G,/gp/video/detail/B07JR1X222/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1859_It_Runs_in_the_Family_2003.html,"Alex Gromberg (Michael Douglas) is a man caught in the middle. Trying to avoid the mistakes his father made while coming to terms with the ones he's already passed on to his own sons, Alex is navigating the tricky roles of father, son, and husband.","Comedy,Drama",Rated 4.1 out of 5 stars by 153 Amazon customers.,153,1,IMDb 5.5,1 h 49 min,2003,PG-13,/gp/video/detail/B07P6S9MXF/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1860_Griffin__Phoenix.html,Griffin and Phoenix is a poignantly funny love story about two people who face a seemingly insurmountable obstacle that may stand between them and a last chance at love.,"Comedy,Drama",Rated 4.3 out of 5 stars by 322 Amazon customers.,322,1,IMDb 6.9,1 h 43 min,2006,PG-13,/gp/video/detail/B081D68GCG/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1862_Run_Silent_Run_Deep.html,"With sweat-dripping realism, this taut drama stars Clark Gable as a single-minded sub commander who must contend with a tough executive officer (Burt Lancaster) and attacks from enemy forces.",Action,Rated 4.8 out of 5 stars by 1411 Amazon customers.,"1,411",1,IMDb 7.3,1 h 33 min,1958,13+,/gp/video/detail/B081L4K2P4/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1863_The_Spikes_Gang.html,"Lee Marvin gives a spellbinding performance as a wounded outlaw who appears as a romantic figure to two impressionable youths (Ron Howard and Gary Grimes). Nursed back to health by the boys, the outlaw enlists them in his robberies...and then callously betrays them.","Drama,Western",Rated 4 out of 5 stars by 65 Amazon customers.,65,1,IMDb 6.3,1 h 36 min,1974,PG,/gp/video/detail/B08DS2M9CT/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1868_Harsh_Times.html,An unstable Gulf War veteran (Christian Bale) with a savior complex receives a shocking wake-up call upon returning stateside and accepting a position with the Department of Homeland Security.,"Suspense,Drama",Rated 4.1 out of 5 stars by 542 Amazon customers.,542,1,IMDb 6.8,1 h 56 min,2006,R,/gp/video/detail/B00IQ3XCBM/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1869_Alexander_the_Great.html,"Richard Burton, Frederic March and Claire Bloom star in this saga of the famous Greek who conquered the world before his death at the age of thirty-three.","Drama,Historical",Rated 4.3 out of 5 stars by 307 Amazon customers.,307,1,IMDb 5.8,2 h 15 min,1956,13+,/gp/video/detail/B07PW3YNWK/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1881_The_Virgin_Suicides.html,The Lisbons seem like an ordinary enough family until the family's sense of normalcy is shattered when their 13-year-old daughter Cecilia falls into a deep depression and attempts suicide.,"Drama,Romance",Rated 4.4 out of 5 stars by 1410 Amazon customers.,"1,410",1,IMDb 7.2,1 h 36 min,2000,R,/gp/video/detail/B0B6GHR53Z/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,UHD
1885_The_Fifth_Element.html,A New York City cabdriver tries to save 2259 Earth from impact with an onrushing anti-life force.,"Science Fiction,Fantasy",Rated 4.8 out of 5 stars by 29303 Amazon customers.,"29,303",1,IMDb 7.6,2 h 6 min,1997,PG-13,/gp/video/detail/B09KWNQ5WJ/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1886_A_Bridge_Too_Far.html,An account of a disastrous 1944 Allied military operation.,"Drama,Historical",Rated 3.9 out of 5 stars by 3 Amazon customers.,3,1,IMDb 7.4,2 h 56 min,1977,PG,/gp/video/detail/B0B8H13BK5/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1887_City_Slickers.html,HD. A trio of middle-aged men in search of their lost youth gets more than they bargained for during a two-week vacation on a cattle drive.,"Comedy,Drama",Rated 4.7 out of 5 stars by 3100 Amazon customers.,"3,100",1,IMDb 6.8,1 h 54 min,1991,PG-13,/gp/video/detail/B000GOV8GK/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1891_Eye_for_an_Eye.html,"A public relations executive joins a support group after her daughter is killed by a convicted rapist/murderer. When the man is released due to lack of evidence, she joins a vigilante organization intending to kill the man.","Suspense,Drama",Rated 4.7 out of 5 stars by 1936 Amazon customers.,"1,936",1,IMDb 6.2,1 h 41 min,1996,18+,/gp/video/detail/B019DYBEZS/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1892_State_Of_Grace.html,"In this neo-noir crime film, an undercover cop (Sean Penn) comes back to his old neighborhood in New York City's Hell's Kitchen to bring down the Irish Mafia, which is now led by two of his childhood friends (Gary Oldman and Ed Harris).","Suspense,Drama",Rated 4.4 out of 5 stars by 464 Amazon customers.,464,1,IMDb 7.2,2 h 14 min,1990,R,/gp/video/detail/B0B8TJ847X/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1893_Kal_Ho_Naa_Ho.html,"Naina Kapur is a beautiful introvert and often keeps to herself. Her life soon changes, when she befriends her neighbour, Aman Mathur, who is jaunty and bubbly. Naina falls in love with Aman and decides to confess her love to him. She is heart-broken, when she finds out that Aman is married. But the truth unravels, and Aman has lied about being married. His lie hides a dark secret.","Comedy,Drama",Rated 4.7 out of 5 stars by 250 Amazon customers.,250,1,,3 h 7 min,2003,13+,/gp/video/detail/B095J546VT/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
