Film,Year,Awards,Nominations,Win
Earthquake,1974,1 (1),4,False
Alice Doesn't Live Here Anymore,1974,1,3,False
Amarcord,1974,1,3[3],False
Harry and Tonto,1974,1,2,False
Closed Mondays,1974,1,1,False
Don't,1974,1,1,False
Hearts and Minds,1974,1,1,False
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1,1,False
The Sting,1973,7,10,True
The Exorcist,1973,2,10,False
The Way We Were,1973,2,6,False
Cries and Whispers (Viskningar och rop),1973,1,5,False
A Touch of Class,1973,1,5,False
Day for Night (La Nuit américaine),1973,1,4,False
Paper Moon,1973,1,4,False
The Paper Chase,1973,1,3,False
Save the Tiger,1973,1,3,False
The Bolero,1973,1,1,False
Frank Film,1973,1,1,False
The Great American Cowboy,1973,1,1,False
Princeton: A Search for Answers,1973,1,1,False
The Godfather,1972,3,10[4],True
Cabaret,1972,8,10,False
The Poseidon Adventure,1972,1 (1),8,False
Travels with My Aunt,1972,1,4,False
Butterflies Are Free,1972,1,3,False
The Candidate,1972,1,2,False
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1,2,False
A Christmas Carol,1972,1,1[5],False
Limelight,1972,1,1[6],False
Marjoe,1972,1,1,False
Norman Rockwell's World... An American Dream,1972,1,1,False
This Tiny World,1972,1,1,False
The French Connection,1971,5,8,True
Fiddler on the Roof,1971,3,8,False
The Last Picture Show,1971,2,8,False
Nicholas and Alexandra,1971,2,6,False
Sentinels of Silence,1971,2,2,False
Bedknobs and Broomsticks,1971,1,5,False
Summer of '42,1971,1,4,False
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1,2,False
The Hospital,1971,1,2,False
Klute,1971,1,2,False
Shaft,1971,1,2,False
The Crunch Bird,1971,1,1,False
The Hellstrom Chronicle,1971,1,1,False
Patton,1970,7,10,True
Ryan's Daughter,1970,2,4,False
Airport,1970,1,10,False
Love Story,1970,1,7,False
M*A*S*H,1970,1,5,False
Tora! Tora! Tora!,1970,1,5,False
Women in Love,1970,1,4,False
Lovers and Other Strangers,1970,1,3,False
Woodstock,1970,1,3,False
Cromwell,1970,1,2,False
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1,2,False
Interviews with My Lai Veterans,1970,1,1,False
Is It Always Right to Be Right?,1970,1,1,False
Let It Be,1970,1,1,False
The Resurrection of Broncho Billy,1970,1,1,False
Midnight Cowboy,1969,3,7,True
Butch Cassidy and the Sundance Kid,1969,4,7,False
"Hello, Dolly!",1969,3,7,False
Z,1969,2,5,False
Anne of the Thousand Days,1969,1,10,False
"They Shoot Horses, Don't They?",1969,1,9,False
Marooned,1969,1,3,False
The Magic Machines,1969,1,2,False
The Prime of Miss Jean Brodie,1969,1,2,False
True Grit,1969,1,2,False
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1,1,False
Cactus Flower,1969,1,1,False
Czechoslovakia 1968,1969,1,1,False
It's Tough to Be a Bird,1969,1,1,False
Oliver!,1968,5 (1),11,True
The Lion in Winter,1968,3,7,False
Romeo and Juliet,1968,2,4,False
Funny Girl,1968,1,8,False
2001: A Space Odyssey,1968,1,4,False
Bullitt,1968,1,2,False
The Producers,1967,1,2,False
Rosemary's Baby,1968,1,2,False
The Subject Was Roses,1968,1,2,False
The Thomas Crown Affair,1968,1,2,False
War and Peace (Voyna i mir),1968,1,2,False
Charly,1968,1,1,False
Journey into Self,1968,1,1,False
Robert Kennedy Remembered,1968,1,1,False
Why Man Creates,1968,1,1,False
Winnie the Pooh and the Blustery Day,1968,1,1,False
Planet of the Apes,1968,0 (1),2,False
In the Heat of the Night,1967,5,7,True
Camelot,1967,3,5,False
Bonnie and Clyde,1967,2,10,False
Guess Who's Coming to Dinner,1967,2,10,False
Doctor Dolittle,1967,2,9,False
The Graduate,1967,1,7,False
Thoroughly Modern Millie,1967,1,7,False
Cool Hand Luke,1967,1,4,False
The Dirty Dozen,1967,1,4,False
A Place to Stand,1967,1,2,False
The Anderson Platoon (La Section Anderson),1967,1,1,False
The Box,1967,1,1,False
Closely Watched Trains (Ostre sledované vlaky),1967,1,1,False
The Redwoods,1967,1,1,False
A Man for All Seasons,1966,6,8,True
Who's Afraid of Virginia Woolf?,1966,5,13,False
Grand Prix,1966,3,3,False
Fantastic Voyage,1966,2,5,False
A Man and a Woman,1966,2,4,False
Born Free,1966,2,2,False
The Fortune Cookie,1966,1,4,False
A Funny Thing Happened on the Way to the Forum,1966,1,1,False
A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1,False
The War Game,1966,1,1,False
Wild Wings,1966,1,1,False
A Year Toward Tomorrow,1966,1,1,False
The Sound of Music,1965,5,10,True
Doctor Zhivago,1965,5,10,False
Darling,1965,3,5,False
Ship of Fools,1965,2,8,False
Cat Ballou,1965,1,5,False
The Great Race,1965,1,5,False
A Patch of Blue,1965,1,5,False
A Thousand Clowns,1965,1,4,False
The Shop on Main Street (Obchod na korze),1965,1,2,False
The Sandpiper,1965,1,1,False
The Eleanor Roosevelt Story,1965,1,1,False
To Be Alive!,1965,1,1,False
7 Faces of Dr. Lao,1964,0 (1),1,False
7th Heaven,1927/28,3,5,False
"20,000 Leagues Under the Sea",1954,2,3,False
Adventures of Don Juan,1949,1,2,False
The Adventures of Robin Hood,1938,3,4,False
The African Queen,1951,1,4,False
Air Force,1943,1,4,False
The Alamo,1960,1,7,False
The Alaskan Eskimo,1953,1,1,False
Albert Schweitzer,1957,1,1,False
Alexander's Ragtime Band,1938,1,6,False
All About Eve,1950,6,14,True
All Quiet on the Western Front,1929/30,2,4,True
All That Money Can Buy,1941,1,2,False
All the King's Men,1949,3,7,True
Ama Girls,1958,1,1,False
America America,1963,1,4,False
An American in Paris,1951,6,8,True
Amphibious Fighters,1943,1,1,False
Anastasia,1956,1,2,False
Anchors Aweigh,1945,1,5,False
Anna and the King of Siam,1946,2,5,False
Annie Get Your Gun,1950,1,4,False
Anthony Adverse,1936,4,7,False
The Apartment,1960,5,10,True
Aquatic House Party,1949,1,1,False
"Arise, My Love",1940,1,4,False
Around the World in 80 Days,1956,5,8,True
The Awful Truth,1937,1,6,False
The Bachelor and the Bobby-Soxer,1947,1,1,False
The Bad and the Beautiful,1952,5,6,False
Bad Girl,1931/32,2,3,False
The Barefoot Contessa,1954,1,2,False
The Battle of Midway,1942,1,1,False
Battleground,1949,2,6,False
Bear Country,1953,1,1,False
Becket,1964,1,12,False
The Bells of St. Mary's,1945,1,8,False
Ben-Hur,1959,11,12,True
Benjy,1951,1,1,False
The Bespoke Overcoat,1956,1,1,False
The Best Years of Our Lives,1946,7 (1),8,True
Beyond the Line of Duty,1942,1,1,False
Bicycle Thieves,1949,0 (1),1,False
The Big Broadcast of 1938,1938,1,1,False
The Big Country,1958,1,2,False
The Big House,1929/30,2,4,False
Bill and Coo,1948,0 (1),0,False
Birds Anonymous,1957,1,1,False
The Bishop's Wife,1947,1,5,False
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1,1,False
Black Narcissus,1947,2,2,False
Black Orpheus (Orfeu Negro),1959,1,1,False
The Black Swan,1942,1,3,False
Blithe Spirit,1946,1,1,False
Blood and Sand,1941,1,2,False
Blood on the Sun,1945,1,1,False
Blossoms in the Dust,1941,1,4,False
Body and Soul,1947,1,3,False
Bored of Education,1936,1,1,False
Born Yesterday,1950,1,5,False
A Boy and His Dog,1946,1,1,False
Boys Town,1938,2,5,False
The Brave One,1956,1,3,False
Breakfast at Tiffany's,1961,2,5,False
Breaking the Sound Barrier,1952,1,2,False
The Bridge of San Luis Rey,1928/29,1,1,False
The Bridge on the River Kwai,1957,7,8,True
The Bridges at Toko-Ri,1955,1,2,False
Broadway Melody of 1936,1935,1,3,False
The Broadway Melody,1928/29,1,3,True
Broken Lance,1954,1,2,False
Busy Little Bears,1939,1,1,False
BUtterfield 8,1960,1,2,False
Calamity Jane,1953,1,3,False
Call Me Madam,1953,1,2,False
"Captain Carey, U.S.A.",1950,1,1,False
Captains Courageous,1937,1,4,False
Casablanca,1943,3,8,True
Casals Conducts: 1964,1964,1,1,False
The Cat Concerto,1946,1,1,False
Cavalcade,1932/33,3,4,True
Chagall,1963,1,1,False
The Champ,1931/32,2,4,False
Champion,1949,1,6,False
A Chance to Live,1949,1,1,False
The Charge of the Light Brigade,1936,1,3,False
The Chicken (Le Poulet),1965,1,1,False
Churchill's Island,1941,1,1,False
Cimarron,1930/31,3,7,True
The Circus,1927/28,0 (1),0,False
Citizen Kane,1941,1,9,False
City of Wax,1934,1,1,False
Cleopatra,1934,1,5,False
Cleopatra,1963,4,9,False
Climbing the Matterhorn,1947,1,1,False
Come and Get It,1936,1,2,False
"Come Back, Little Sheba",1952,1,3,False
Coquette,1928/29,1,1,False
The Country Cousin,1936,1,1,False
The Country Girl,1954,2,7,False
Cover Girl,1944,1,5,False
The Cowboy and the Lady,1938,1,3,False
Crash Dive,1943,1,1,False
Crashing the Water Barrier,1956,1,1,False
The Critic,1963,1,1,False
La Cucaracha,1934,1,1,False
Cyrano de Bergerac,1950,1,1,False
A Damsel in Distress,1937,1,2,False
Dangerous,1935,1,1,False
The Dark Angel,1935,1,3,False
The Dawn Patrol,1930/31,1,1,False
Day of the Painter,1960,1,1,False
Daybreak in Udi,1949,1,1,False
Days of Wine and Roses,1962,1,5,False
December 7th,1943,1,1,False
Declaration of Independence,1938,1,1,False
The Defiant Ones,1958,2,9,False
Der Fuehrer's Face,1942,1,1,False
Desert Victory,1943,1,1,False
Design for Death,1947,1,1,False
Designing Woman,1957,1,1,False
Destination Moon,1950,1,2,False
The Diary of Anne Frank,1959,3,8,False
Disraeli,1929/30,1,3,False
The Divine Lady,1928/29,1,3,False
Divorce Italian Style,1962,1,3,False
The Divorcee,1929/30,1,4,False
Dodsworth,1936,1,7,False
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1965,1,1,False
A Double Life,1947,2,4,False
The Dove,1927/28,1,1,False
Dr. Jekyll and Mr. Hyde,1931/32,1,3,False
Dumbo,1941,1,2,False
Dylan Thomas,1962,1,1,False
East of Eden,1955,1,4,False
Easter Parade,1948,1,1,False
Elmer Gantry,1960,3,5,False
The Enemy Below,1957,1,1,False
Eskimo,1934,1,1,False
Exodus,1960,1,3,False
The Face of Lincoln,1955,1,2,False
Facing Your Danger,1946,1,1,False
The Facts of Life,1960,1,5,False
Fantasia,1940,0 (2),0,False
A Farewell to Arms,1932/33,2,4,False
The Farmer's Daughter,1947,1,2,False
Father Goose,1964,1,3,False
Federico Fellini's 8½,1963,2,5,False
Ferdinand the Bull,1938,1,1,False
The Fighting Lady,1944,1,1,False
First Steps,1947,1,1,False
Flowers and Trees,1931/32,1,1,False
Folies Bergere,1935,1,1,False
For Scent-imental Reasons,1949,1,1,False
For Whom the Bell Tolls,1943,1,9,False
Forbidden Games,1952,0 (1),1,False
A Force in Readiness,1961,0 (1),0,False
A Free Soul,1930/31,1,3,False
Frenchman's Creek,1945,1,1,False
From Here to Eternity,1953,8,13,True
The Garden of Allah,1936,0 (1),2,False
Gaslight,1944,2,7,False
Gate of Hell (Jigokumon),1954,1 (1),1,False
The Gay Divorcee,1934,1,5,False
Gentleman's Agreement,1947,3,8,True
Gerald McBoing-Boing,1950,1,1,False
Giant,1956,1,10,False
Gigi,1958,9,9,True
Giuseppina,1960,1,1,False
Give Me Liberty,1936,1,1,False
Glass (Glas),1959,1,1,False
The Glenn Miller Story,1954,1,3,False
Going My Way,1944,7,10,True
Gold Diggers of 1935,1935,1,2,False
The Golden Fish (Histoire d'un poisson rouge),1959,1,1,False
Goldfinger,1964,1,1,False
Gone with the Wind,1939,8 (2),13,True
The Good Earth,1937,2,5,False
"Goodbye, Miss Turlock",1947,1,1,False
"Goodbye, Mr. Chips",1939,1,7,False
Grand Canyon,1958,1,1,False
Grand Hotel,1931/32,1,1,True
Grandad of Races,1950,1,1,False
The Grapes of Wrath,1940,2,7,False
The Great Caruso,1951,1,3,False
Great Expectations,1947,2,5,False
The Great Lie,1941,1,1,False
The Great McGinty,1940,1,1,False
The Great Waltz,1938,1,3,False
The Great Ziegfeld,1936,3,7,True
The Greatest Show on Earth,1952,2,5,True
Green Dolphin Street,1947,1,4,False
The Guns of Navarone,1961,1,7,False
Hamlet,1948,4,7,True
Happy Anniversary (Heureux Anniversaire),1962,1,1,False
Harvey,1950,1,2,False
The Harvey Girls,1946,1,2,False
Heavenly Music,1943,1,1,False
The Heiress,1949,4,8,False
Helen Keller in Her Story (The Unconquered),1955,1,1,False
"Hello, Frisco, Hello",1943,1,2,False
Henry V,1946,0 (1),4,False
Here Comes Mr. Jordan,1941,2,7,False
Here Comes the Groom,1951,1,2,False
The High and the Mighty,1954,1,6,False
High Noon,1952,4,7,False
Hitler Lives,1945,1,1,False
A Hole in the Head,1959,1,1,False
The Hole,1962,1,1,False
Holiday Inn,1942,1,3,False
The Horse with the Flying Tail,1960,1,1,False
The House I Live In,1945,0 (1),0,False
The House on 92nd Street,1945,1,1,False
How Green Was My Valley,1941,5,10,True
How the West Was Won,1963,3,8,False
How to Sleep,1935,1,1,False
Hud,1963,3,7,False
The Human Comedy,1943,1,5,False
The Hurricane,1937,1,3,False
The Hustler,1961,2,9,False
I Want to Live!,1958,1,6,False
I Wanted Wings,1941,1,1,False
I Won't Play,1944,1,1,False
I'll Cry Tomorrow,1955,1,4,False
In Beaver Valley,1950,1,1,False
In Old Arizona,1928/29,1,5,False
In Old Chicago,1937,2,6,False
In Which We Serve,1942,0 (1),2,False
The Informer,1935,4,6,False
Interrupted Melody,1955,1,3,False
The Invaders,1942,1,3,False
Irma la Douce,1963,1,3,False
It Happened One Night,1934,5,5,True
"It's a Mad, Mad, Mad, Mad World",1963,1,6,False
The Jazz Singer,1927/28,0 (1),1,False
Jezebel,1938,2,5,False
Joan of Arc,1948,2 (1),7,False
Johann Mouse,1952,1,1,False
Johnny Belinda,1948,1,12,False
Johnny Eager,1942,1,1,False
The Joker Is Wild,1957,1,1,False
The Jolson Story,1946,2,6,False
Judgment at Nuremberg,1961,2,11,False
Julius Caesar,1953,1,5,False
Kentucky,1938,1,1,False
Key Largo,1948,1,1,False
The King and I,1956,5,9,False
King of Jazz,1929/30,1,1,False
King Solomon's Mines,1950,2,3,False
Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1940,1,5,False
Knighty Knight Bugs,1958,1,1,False
Kokoda Front Line!,1942,1,1,False
Kon-Tiki,1950,1,1,False
Krakatoa,1932/33,1,1,False
Kukan,1941,0 (1),0,False
La Strada (The Road),1956,1,2,False
La Dolce Vita,1961,1,4,False
Lady Be Good,1941,1,1,False
The Last Command,1927/28,1,2,False
Laura,1944,1,5,False
The Lavender Hill Mob,1952,1,2,False
Lawrence of Arabia,1962,7,10,True
Leave Her to Heaven,1945,1,4,False
Lend a Paw,1941,1,1,False
Les Girls,1957,1,3,False
A Letter to Three Wives,1949,2,3,False
The Life of Emile Zola,1937,3,10,True
Light in the Window,1952,1,1,False
Lili,1953,1,6,False
Lilies of the Field,1963,1,5,False
The Little Kidnappers (The Kidnappers),1954,0 (2),0,False
The Little Orphan,1948,1,1,False
Little Women,1932/33,1,3,False
Little Women,1949,1,2,False
The Lives of a Bengal Lancer,1935,1,7,False
The Living Desert,1953,1,1,False
The Longest Day,1962,2,5,False
Lost Horizon,1937,2,7,False
The Lost Weekend,1945,4,7,True
Love Is a Many-Splendored Thing,1955,3,8,False
Love Me or Leave Me,1955,1,6,False
Lust for Life,1956,1,4,False
Magoo's Puddle Jumper,1956,1,1,False
Main Street on the March!,1941,1,1,False
The Man Who Knew Too Much,1956,1,1,False
Manhattan Melodrama,1934,1,1,False
Marie-Louise,1945,1,1,False
Marty,1955,4,8,True
Mary Poppins,1964,5,13,False
Men Against the Arctic,1955,1,1,False
The Merry Widow,1934,1,1,False
A Midsummer Night's Dream,1935,2,4[7],False
Mighty Joe Young,1949,1,1,False
Mildred Pierce,1945,1,6,False
The Milky Way,1940,1,1,False
Min and Bill,1930/31,1,1,False
Miracle on 34th Street,1947,3,4,False
The Miracle Worker,1962,2,5,False
Mister Roberts,1955,1,3,False
Monsieur Vincent,1948,0 (1),0,False
Moonbird,1959,1,1,False
The More the Merrier,1943,1,6,False
Morning Glory,1932/33,1,1,False
Moscow Strikes Back,1942,1,1,False
Mother Wore Tights,1947,1,3,False
Moulin Rouge,1952,2,7,False
Mouse Trouble,1944,1,1,False
Mr. Deeds Goes to Town,1936,1,5,False
Mr. Smith Goes to Washington,1939,1,11,False
Mrs. Miniver,1942,6,12,True
Munro,1960,1,1,False
The Music Box,1931/32,1,1,False
The Music Man,1962,1,6,False
Mutiny on the Bounty,1935,1,8,True
My Fair Lady,1964,8,12,True
My Uncle (Mon oncle),1958,1,1,False
My Gal Sal,1942,1,2,False
The Naked City,1948,2,3,False
National Velvet,1945,2,5,False
Nature's Half Acre,1951,1,1,False
Naughty Marietta,1935,1,2,False
Neighbours,1952,1,2,False
Neptune's Daughter,1949,1,1,False
Never on Sunday (Pote tin Kyriaki),1960,1,5,False
The Night of the Iguana,1964,1,4,False
Nights of Cabiria (Le Notti di Cabiria),1957,1,1,False
Nine from Little Rock,1964,1,1,False
None But the Lonely Heart,1944,1,4,False
North West Mounted Police,1940,1,5,False
"Now, Voyager",1942,1,3,False
An Occurrence at Owl Creek Bridge,1963,1,1,False
Of Pups and Puzzles,1941,1,1,False
Oklahoma!,1955,2,4,False
The Old Man and the Sea,1958,1,3,False
The Old Mill,1937,1,1,False
On the Town,1949,1,1,False
On the Waterfront,1954,8,12,True
One Hundred Men and a Girl,1937,1,5,False
One Night of Love,1934,2,6,False
One Way Passage,1932/33,1,1,False
Overture to The Merry Wives of Windsor,1953,1,1,False
The Paleface,1948,1,1,False
Panic in the Streets,1950,1,1,False
Papa's Delicate Condition,1963,1,1,False
The Patriot,1928/29,1,5,False
Penny Wisdom,1937,1,1,False
Phantom of the Opera,1943,2,4,False
The Philadelphia Story,1940,2,6,False
Picnic,1955,2,6,False
The Picture of Dorian Gray,1945,1,3,False
Pillow Talk,1959,1,5,False
The Pink Phink,1964,1,1,False
Pinocchio,1940,2,2,False
A Place in the Sun,1951,6,9,False
Plymouth Adventure,1952,1,1,False
Pollyanna,1960,0 (1),0,False
Porgy and Bess,1959,1,4,False
Portrait of Jennie,1948,1,2,False
Prelude to War,1942,1,1,False
Pride and Prejudice,1940,1,1,False
The Pride of the Yankees,1942,1,11,False
Princess O'Rourke,1943,1,1,False
The Private Life of Henry VIII,1932/33,1,2,False
The Private Life of the Gannets,1937,1,1,False
Project Hope,1961,1,1,False
The Public Pays,1936,1,1,False
Pygmalion,1938,1,4,False
Quicker'n a Wink,1940,1,1,False
The Quiet Man,1952,2,7,False
Quiet Please!,1945,1,1,False
The Rains Came,1939,1,6[8],False
Rashomon,1951,0 (1),1,False
The Razor's Edge,1946,1,4,False
Reap the Wild Wind,1942,1,3,False
Rebecca,1940,2,11,True
The Red Balloon (Le ballon rouge),1956,1,1,False
The Red Shoes,1948,2,5,False
The Robe,1953,2,5,False
Robert Frost: A Lover's Quarrel with the World,1963,1,1,False
Roman Holiday,1953,3,10,False
Room at the Top,1959,2,6,False
The Rose Tattoo,1955,3,8,False
Sabrina,1954,1,6,False
Samson and Delilah,1950,2,5,False
Samurai I: Musashi Miyamoto (Miyamoto Musashi),1955,0 (1),0,False
San Francisco,1936,1,6,False
Sayonara,1957,4,10,False
The Scoundrel,1935,1,1,False
The Sea Around Us,1952,1,1,False
Seal Island,1948,1,1,False
The Search,1948,1 (1),4,False
Seawards the Great Ships,1961,1,1,False
The Secret Land,1948,1,1,False
Seeds of Destiny,1946,1,1,False
Separate Tables,1958,2,7,False
Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,1,1,False
Sergeant York,1941,2,11,False
Seven Brides for Seven Brothers,1954,1,5,False
Seven Days to Noon,1951,1,1,False
The Seventh Veil,1946,1,1,False
Shane,1953,1,6,False
Shanghai Express,1931/32,1,3,False
She Wore a Yellow Ribbon,1949,1,1,False
Shoeshine (Sciuscià),1947,0 (1),1,False
The Silent World (Le Monde du silence),1956,1,1,False
The Sin of Madelon Claudet,1931/32,1,1,False
Since You Went Away,1944,1,9,False
Skippy,1930/31,1,4,False
Sky Above and Mud Beneath (Le Ciel et la boue),1961,1,1,False
The Snake Pit,1948,1,6,False
Snow White and the Seven Dwarfs,1937,0 (1),1,False
So Much for So Little,1949,1,1,False
So This Is Harris!,1932/33,1,1,False
The Solid Gold Cadillac,1956,1,2,False
Some Like It Hot,1959,1,6,False
Somebody Up There Likes Me,1956,2,3,False
The Song of Bernadette,1943,4,12,False
Song of the South,1947,1 (1),2,False
Song Without End,1960,1,1,False
Sons and Lovers,1960,1,7,False
Sons of Liberty,1939,1,1,False
South Pacific,1958,1,3,False
Spartacus,1960,4,6,False
Spawn of the North,1938,0 (1),0,False
Speaking of Animals and Their Families,1942,1,1,False
Speedy Gonzales,1955,1,1,False
Spellbound,1945,1,6,False
Splendor in the Grass,1961,1,2,False
Stagecoach,1939,2,7,False
Stairway to Light,1945,1,1,False
Stalag 17,1953,1,3,False
Star in the Night,1945,1,1,False
A Star Is Born,1937,1 (1),7,False
State Fair,1945,1,2,False
The Story of Louis Pasteur,1936,3,4,False
The Stratton Story,1949,1,1,False
Street Angel,1927/28,1,3,False
A Streetcar Named Desire,1951,4,12,False
Strike Up the Band,1940,1,3,False
The Substitute,1961,1,1,False
Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,1,3,False
Sunrise,1927/28,3,4[9],False
Sunset Boulevard,1950,3,11,False
Survival City,1955,1,1,False
Suspicion,1941,1,3,False
Sweet Bird of Youth,1962,1,3,False
Sweethearts,1938,0 (1),2,False
Swing Time,1936,1,2,False
Symphony of a City,1948,1,1,False
Tabu,1930/31,1,1,False
Target for Tonight,1941,0 (1),0,False
"Teddy, the Rough Rider",1940,1,1,False
Tempest,1927/28,1,1,False
The Ten Commandments,1956,1,7,False
That Hamilton Woman,1941,1,4,False
That Mothers Might Live,1938,1,1,False
The Thief of Bagdad,1940,3,4,False
The Third Man,1950,1,3,False
Thirty Seconds Over Tokyo,1944,1,2,False
This Above All,1942,1,4,False
This Is the Army,1943,1,3,False
This Land Is Mine,1943,1,1,False
This Mechanical Age,1954,1,1,False
Three Coins in the Fountain,1954,2,3,False
The Three Faces of Eve,1957,1,1,False
Three Little Pigs,1932/33,1,1,False
Three Orphan Kittens,1935,1,1,False
Through a Glass Darkly (Såsom i en spegel),1961,1,2,False
Thunderball,1965,1,1,False
Thursday's Children,1954,1,1,False
The Time Machine,1960,1,1,False
A Time Out of War,1954,1,1,False
Tin Pan Alley,1940,1,1,False
The Titan: Story of Michelangelo,1950,1,1,False
Titanic,1953,1,2,False
To Catch a Thief,1955,1,3,False
To Each His Own,1946,1,2,False
To Kill a Mockingbird,1962,3,8,False
Tom Jones,1963,4,10,True
tom thumb,1958,1,1,False
"Toot, Whistle, Plunk and Boom",1953,1,1,False
Topkapi,1964,1,1,False
The Tortoise and the Hare,1934,1,1,False
Torture Money,1937,1,1,False
Toward Independence,1948,1,1,False
Transatlantic,1931/32,1,1,False
The Treasure of the Sierra Madre,1948,3,4,False
A Tree Grows in Brooklyn,1945,1,2,False
The True Glory,1945,1,1,False
The True Story of the Civil War,1956,1,1,False
Tweetie Pie,1947,1,1,False
Twelve O'Clock High,1949,2,4,False
Two Arabian Knights,1927/28,1,1,False
The Two Mouseketeers,1951,1,1,False
Two Women (La Ciociara),1961,1,1,False
The Ugly Duckling,1939,1,1,False
Underworld,1927/28,1,1,False
The V.I.P.s,1963,1,1,False
Vacation from Marriage (UK title Perfect Strangers),1946,1,1,False
Van Gogh,1949,1,1,False
The Vanishing Prairie,1954,1,1,False
The Virgin Spring (Jungfrukällan),1960,1,2,False
Viva Villa!,1934,1,4,False
Viva Zapata!,1952,1,5,False
Waikiki Wedding,1937,1,2,False
The Walls of Malapaga,1950,0 (1),0,False
The War of the Worlds,1953,1,3,False
Watch on the Rhine,1943,1,4,False
Water Birds,1952,1,1,False
The Way of All Flesh,1927/28,1,1,False
West Side Story,1961,10,11,True
The Westerner,1940,1,3,False
The Wetback Hound,1957,1,1,False
What Ever Happened to Baby Jane?,1962,1,5,False
When Tomorrow Comes,1939,1,1,False
When Magoo Flew,1954,1,1,False
When Worlds Collide,1951,1,2,False
White Shadows in the South Seas,1928/29,1,1,False
White Wilderness,1958,1,2,False
Who's Who in Animal Land,1944,1,1,False
Why Korea?,1950,1,1,False
Wilson,1944,5,10,False
Wings,1927/28,2,2,True
Wings Over Everest,1935,1,1,False
With a Song in My Heart,1952,1,5,False
With Byrd at the South Pole,1929/30,1,1,False
With the Marines at Tarawa,1944,1,1,False
The Wizard of Oz,1939,2,6[10],False
Woman of the Year,1942,1,2,False
Wonder Man,1945,1,4,False
The Wonderful World of the Brothers Grimm,1962,1,4,False
World of Kids,1951,1,1,False
World Without Sun (Le Monde sans soleil),1964,1,1,False
Wrestling Swordfish,1931/32,1,1,False
Written on the Wind,1956,1,3,False
Wuthering Heights,1939,1,8,False
Yankee Doodle Dandy,1942,3,8,False
The Yankee Doodle Mouse,1943,1,1,False
The Yearling,1946,2,7,False
"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1964,1,1,False
You Can't Take It with You,1938,2,7,True
Zorba the Greek (Alexis Zorbas),1964,3,7,False
